player,recent_form,surface_winrate
Nikolay Davydenko,0.84,0.75
Marc Marco Ripoll,0.8,0.58
Marc Lopez,0.89,0.8
David Sanchez,0.84,0.47
Kobi Ziv,0.5,0.58
Ladislav Svarc,0.43,0.41
Hendri Susilo Pramono,0.61,0.53
Jeremy Delinbeuf,0.71,0.67
Eduardo Nicolas,0.72,0.5
Nitten Kirrtane,0.53,0.73
Andy Ram,0.83,0.46
Pavel Snobel,0.56,0.81
Vishal Uppal,0.86,0.91
Denis Golovanov,0.64,0.61
Kirill Ivanov Smolensky,0.41,0.69
Julien Jeanpierre,0.48,0.67
Carlos Castellanos,0.45,0.83
Salvador Navarro,0.42,0.95
Diego Hipperdinger,0.76,0.8
Sander Groen,0.5,0.52
Marc Fornell Mestres,0.82,0.78
Andrew Ilie,0.53,0.74
Juan Albert Viloca Puig,0.42,0.52
Feliciano Lopez,0.81,0.53
Quino Munoz,0.63,0.76
Gabriel Frias,0.7,0.84
Marcio Carlsson,0.57,0.82
Ivan Navarro,0.42,0.73
Oscar Serrano,0.59,0.92
German Puentes,0.66,0.8
Emilio Viuda Hernandez,0.41,0.7
Sandeep Kirtane,0.69,0.85
Suwandi Suwandi,0.85,0.56
Marc Rosset,0.51,0.54
Jiri Novak,0.86,0.93
Thomas Johansson,0.45,0.92
Magnus Gustafsson,0.81,0.88
Michael Sell,0.82,0.52
Juan Carlos Ferrero,0.53,0.72
Juan Balcells,0.88,0.69
Tommy Haas,0.61,0.51
David Miketa,0.47,0.65
Michael Chang,0.7,0.66
Julien Benneteau,0.9,0.53
Julien Cuaz,0.85,0.93
Karol Kucera,0.54,0.67
Kris Goossens,0.69,0.69
Filip Dewulf,0.46,0.73
Slimane Saoudi,0.63,0.89
Julien Varlet,0.66,0.69
Nicolas Coutelot,0.56,0.7
Saurav Panja,0.64,0.53
Nir Welgreen,0.86,0.73
Reginald Willems,0.65,0.61
Jan Hernych,0.82,0.76
Arnaud Fontaine,0.56,0.57
Igor Kunitsyn,0.89,0.79
Johan Van Herck,0.45,0.74
Gerard Solves,0.69,0.66
Eric Prodon,0.79,0.45
Mounir El Aarej,0.81,0.74
Dimitri Mazur,0.5,0.87
Alex Calatrava,0.6,0.49
Lucas Arnold Ker,0.71,0.45
Jan Hermansson,0.56,0.42
Gregory Carraz,0.73,0.42
Jalal Chafai,0.59,0.86
Harel Levy,0.58,0.8
Gabriel Trifu,0.45,0.51
David Caballero,0.42,0.9
Konstantin Don Gruber,0.82,0.47
Gerardo Morales,0.64,0.61
Jack Brasington,0.68,0.65
Irakli Labadze,0.59,0.44
Hicham Arazi,0.47,0.59
Alex Corretja,0.62,0.46
Adrian Voinea,0.51,0.83
Francisco Clavet,0.82,0.43
Rodolphe Gilbert,0.89,0.41
Rene Nicklisch,0.84,0.8
Wade Mcguire,0.66,0.83
Eyal Erlich,0.71,0.67
Jeff Salzenstein,0.87,0.57
Jonathan Stark,0.67,0.53
Michael Russell,0.72,0.46
Jurgen Melzer,0.71,0.67
Vinod Sridhar,0.75,0.67
Ivan Ljubicic,0.72,0.65
Nicolas Lapentti,0.74,0.83
Antonio Alcaraz,0.76,0.45
Manuel Sala,0.8,0.77
Francisco Fogues,0.6,0.62
Stefan Koubek,0.77,0.53
Dominik Hrbaty,0.45,0.77
Todd Martin,0.84,0.51
Arnaud Clement,0.55,0.53
Grant Stafford,0.6,0.95
Grant Doyle,0.8,0.89
Noam Okun,0.72,0.78
Petr Luxa,0.55,0.57
Stephane Huet,0.51,0.7
Dusan Vemic,0.88,0.47
Wolfgang Schranz,0.44,0.58
Raemon Sluiter,0.4,0.44
Lars Burgsmuller,0.74,0.74
Arvind Parmar,0.71,0.87
Alejandro Hernandez,0.77,0.85
Marcos Ondruska,0.77,0.87
Sebastien De Chaunac,0.83,0.5
Frantisek Cermak,0.86,0.76
Paul Hanley,0.79,0.93
Mike Bryan,0.52,0.83
Leos Friedl,0.63,0.4
Noam Behr,0.72,0.89
Sebastian Prieto,0.67,0.79
Kevin Ullyett,0.48,0.47
Bob Bryan,0.69,0.57
Taylor Dent,0.84,0.46
Radek Stepanek,0.61,0.8
Christophe Rochus,0.73,0.4
James Blake,0.71,0.66
Yaoki Ishii,0.59,0.95
Jeff Coetzee,0.68,0.87
Cyril Saulnier,0.51,0.72
Tommy Robredo,0.67,0.78
Lionel Roux,0.8,0.73
Petr Dezort,0.78,0.85
Rodolphe Cadart,0.58,0.89
Andrei Stoliarov,0.46,0.82
Jerome Hanquez,0.8,0.5
Xavier Malisse,0.53,0.6
Julien Boutter,0.43,0.83
Alex Obrien,0.62,0.85
Julian Knowle,0.77,0.75
Michael Llodra,0.8,0.79
Olivier Malcor,0.89,0.5
Wayne Black,0.49,0.6
Paul Kilderry,0.55,0.69
Glenn Knox,0.7,0.94
Gergely Kisgyorgy,0.81,0.84
Barry Cowan,0.52,0.51
Luke Smith,0.6,0.59
Danai Udomchoke,0.6,0.52
Vasilis Mazarakis,0.79,0.48
Frederic Niemeyer,0.52,0.47
Edwin Kempes,0.88,0.93
Mark Knowles,0.66,0.9
Fernando Vicente,0.54,0.67
Vincenzo Santopadre,0.54,0.7
Konstantinos Economidis,0.41,0.86
Nenad Zimonjic,0.75,0.76
Richard Krajicek,0.79,0.8
Mark Philippoussis,0.42,0.84
Pete Sampras,0.69,0.67
Chris Woodruff,0.79,0.94
Jonas Bjorkman,0.59,0.75
Wayne Ferreira,0.62,0.75
Karim Alami,0.58,0.48
Mariano Zabaleta,0.56,0.94
Yevgeny Kafelnikov,0.65,0.44
Gianluca Pozzi,0.48,0.94
Goran Ivanisevic,0.62,0.9
Jan Kroslak,0.87,0.87
Laurence Tieleman,0.41,0.77
Antony Dupuis,0.48,0.73
Andre Agassi,0.79,0.95
Todd Woodbridge,0.47,0.94
Albert Portas,0.54,0.85
Axel Pretzsch,0.63,0.45
Michael Hill,0.87,0.6
Paradorn Srichaphan,0.49,0.88
Mark Woodforde,0.86,0.79
Oliver Marach,0.76,0.47
Nicolas Devilder,0.74,0.59
Norbert Mazany,0.76,0.41
Stephane Martinez,0.42,0.89
Davide Scala,0.45,0.81
Olivier Rochus,0.57,0.64
Markus Kanellos,0.44,0.82
Radim Zitko,0.89,0.91
Mustafa Ghouse,0.69,0.55
Tomas Janci,0.64,0.56
Ion Moldovan,0.79,0.67
Javier Perez Vazquez,0.89,0.79
Francisco Cabello,0.88,0.95
Diego Moyano,0.8,0.49
Dimitri Lorin,0.59,0.59
Iztok Bozic,0.43,0.6
Jean Michel Pequery,0.45,0.8
Florent Serra,0.4,0.89
Ivan Rodrigo,0.4,0.5
Thierry Ascione,0.87,0.79
Leonardo Olguin,0.86,0.9
Miles Maclagan,0.73,0.47
Boris Borgula,0.76,0.75
Anton Kokurin,0.66,0.51
Melle Van Gemerden,0.52,0.64
Nicolas Todero,0.86,0.47
Solon Peppas,0.54,0.78
Michael Joyce,0.77,0.62
Marcos Daniel,0.52,0.71
Lovro Zovko,0.84,0.69
Arne Kreitz,0.73,0.78
Victor Bruthans,0.72,0.89
Jimy Szymanski,0.45,0.55
Artem Derepasko,0.61,0.73
David Skoch,0.66,0.72
Dario Sciortino,0.55,0.57
Marko Tkalec,0.84,0.67
Riccardo Ciruolo,0.82,0.42
Per Thornadtsson,0.65,0.63
Marwan Zewar,0.57,0.55
Vincent Allegre,0.8,0.88
Johan Ortegren,0.5,0.6
Benoit Foucher,0.44,0.51
Karim Maamoun,0.42,0.69
Nikos Rovas,0.42,0.85
Robert Samuelsson,0.64,0.59
Bjorn Rehnquist,0.53,0.87
Tomas Catar,0.75,0.58
Amro Ghoneim,0.73,0.8
Paul Patrick Brabant,0.67,0.46
Ingo Neumuller,0.58,0.43
Juraj Hasko,0.83,0.81
Jun Kato,0.75,0.6
Anthony La Porte,0.54,0.62
Michael Lammer,0.65,0.72
Thomas Messmer,0.48,0.94
Andreas Tattermusch,0.56,0.49
Vitali Chvets,0.9,0.56
Thomas Blake,0.51,0.76
Luben Pampoulov,0.75,0.79
Andreas Weber,0.52,0.79
Alessandro Da Col,0.87,0.73
Daniele Bracciali,0.56,0.72
Mitty Arnold,0.57,0.48
Martin Hromec,0.7,0.86
Potito Starace,0.69,0.4
Matej Pampoulov,0.69,0.63
Christian Dillschneider,0.69,0.52
Timo Nieminen,0.56,0.46
Marco Chiudinelli,0.62,0.58
Fabian Roetschi,0.7,0.76
Gordon Bergraaf,0.74,0.67
Jean Claude Scherrer,0.53,0.88
Tony Parun,0.75,0.73
Philippe Kobzos,0.86,0.54
Bernard Parun,0.78,0.68
Fred Hemmes,0.44,0.53
Paul Goldstein,0.63,0.5
Gaston Etlis,0.62,0.93
Stefano Pescosolido,0.57,0.66
Andre Sa,0.65,0.76
Febi Widhiyanto,0.62,0.88
Donavan September,0.4,0.58
Thomas Higgins,0.52,0.83
Kevin Kim,0.51,0.83
Cecil Mamiit,0.57,0.85
Doug Bohaboy,0.49,0.5
Luke Milligan,0.43,0.93
Tom Chicoine,0.5,0.55
Timo Fleischfresser,0.83,0.83
Emin Agaev,0.8,0.49
Federico Browne,0.62,0.91
Michael Kohlmann,0.84,0.64
Rafael De Mesa,0.52,0.77
Marzio Martelli,0.69,0.87
Magnus Larsson,0.47,0.56
Ville Liukko,0.82,0.61
Martin Rodriguez,0.47,0.57
Andy Fahlke,0.42,0.56
Alexander Popp,0.54,0.68
Julian Alonso,0.85,0.7
Jakub Herm Zahlava,0.46,0.44
Charles Auffray,0.57,0.77
Olivier Morel,0.56,0.63
Philippe Pasquier,0.8,0.89
Charles Edouard Maria,0.61,0.89
Sebastien Guillemart,0.71,0.8
Joao Cunha Silva,0.6,0.87
Razvan Sabau,0.68,0.91
Federico Luzzi,0.43,0.72
Oleg Ogorodov,0.59,0.93
Vadim Kutsenko,0.83,0.93
Aisam Ul Haq Qureshi,0.75,0.46
Melvin Tong,0.89,0.69
Wing Luen Wong,0.79,0.46
Jerome Haehnel,0.63,0.78
Olivier Ramos,0.74,0.82
Melvyn Op Der Heijde,0.79,0.89
Julien Maes,0.53,0.76
Julien Couly,0.43,0.65
Nicolas Guillaume,0.6,0.49
Tobias Clemens,0.47,0.47
Frederik Fetterlein,0.54,0.67
Kim Tiilikainen,0.87,0.86
Nicolas Thomann,0.82,0.81
Francois Vatin,0.7,0.88
Robin Vik,0.6,0.85
Vladimir Voltchkov,0.53,0.51
Oscar Burrieza,0.69,0.51
Daniel Elsner,0.67,0.65
Ivo Heuberger,0.79,0.51
Alexander Shvec,0.86,0.5
Brandon Hawk,0.56,0.55
Jonathan Erlich,0.5,0.41
Marcello Craca,0.6,0.71
Agustin Calleri,0.62,0.62
Ota Fukarek,0.42,0.53
Lior Mor,0.83,0.47
Helge Koll,0.9,0.65
Gilles Elseneer,0.86,0.73
Ivan Vajda,0.83,0.94
James Nelson,0.9,0.54
Wesley Whitehouse,0.85,0.41
Bjorn Jacob,0.74,0.8
Ivo Karlovic,0.48,0.53
Tom Spinks,0.48,0.67
Lee Childs,0.42,0.84
David Sherwood,0.61,0.42
Graeme Darlington,0.8,0.48
Colin Bennett,0.65,0.45
James Auckland,0.58,0.53
Stefano Tarallo,0.45,0.5
Oscar Martinez Dieguez,0.43,0.57
Albert Montanes,0.6,0.81
Ruben Ramirez Hidalgo,0.45,0.42
Juan Giner,0.45,0.44
Oscar Hernandez,0.6,0.71
Gianluca Luddi,0.65,0.69
Pedro Nieto,0.49,0.66
Jose Pablo Serna,0.74,0.68
Carlos Martinez Comet,0.61,0.81
Javier Garcia Sintes,0.45,0.72
Gabriel Trujillo Soler,0.72,0.65
Andrea Gaudenzi,0.58,0.44
Gouichi Motomura,0.43,0.94
Hyung Taik Lee,0.87,0.53
Hazuan Hizan,0.69,0.88
Selvam Veerasingam,0.64,0.61
Ramin Raziyani,0.83,0.78
Ali Hamadeh,0.87,0.65
Fazaluddin Syed,0.51,0.59
Johnny Arcilla,0.81,0.74
David Prinosil,0.82,0.69
Bing Chao Lin,0.43,0.53
Byron Black,0.76,0.58
Yohny Romero,0.43,0.42
Jose De Armas,0.7,0.51
Maurice Ruah,0.73,0.58
Bernardo Mota,0.58,0.93
Orest Tereshchuk,0.84,0.69
Andrei Medvedev,0.8,0.79
Andrey Dernovskiy,0.86,0.77
Mark Nielsen,0.56,0.94
Alistair Hunt,0.41,0.71
Chia Yen Tsai,0.81,0.72
Alexey Kedryuk,0.51,0.57
Wei Jen Cheng,0.63,0.74
Sandor Martinez Breijo,0.81,0.82
Luis Perez Chete,0.51,0.46
Marco Osorio,0.56,0.66
Luis Adrian Morejon,0.62,0.63
Giovanni Lapentti,0.54,0.46
Hermes Gamonal,0.63,0.59
Nicolas Massu,0.4,0.69
Fernando Gonzalez,0.51,0.76
Francisco Costa,0.82,0.56
Markus Hipfl,0.61,0.66
Americo Venero Montes,0.72,0.8
Luis Horna,0.52,0.63
Marat Safin,0.72,0.92
Mikhail Youzhny,0.9,0.42
Fernando Meligeni,0.7,0.54
Gustavo Kuerten,0.71,0.47
Bohdan Ulihrach,0.46,0.7
Paulo Carvallo,0.6,0.5
Francisco Rodriguez,0.83,0.81
Albert Costa,0.82,0.91
Peter Clarke,0.66,0.51
Clemens Trimmel,0.85,0.9
Elia Grossi,0.47,0.75
Martin Verkerk,0.73,0.51
Henrik Andersson,0.52,0.81
Felix Mantilla,0.72,0.45
Galo Blanco,0.44,0.78
Andrei Pavel,0.87,0.87
Thierry Guardiola,0.79,0.92
Jacobo Diaz,0.5,0.43
Jan Siemerink,0.72,0.43
Diego Nargiso,0.78,0.91
Jan Vacek,0.5,0.83
Florian Jeschonek,0.45,0.83
Mose Navarra,0.58,0.81
Giorgio Galimberti,0.47,0.79
Werner Eschauer,0.68,0.74
Torsten Wolpers,0.61,0.85
Sargis Sargsian,0.63,0.42
Jim Courier,0.67,0.81
Hernan Gumy,0.89,0.72
Justin Gimelstob,0.8,0.9
Tomas Zib,0.71,0.92
Igor Gaudi,0.58,0.53
Neville Godwin,0.41,0.83
Kacper Cecek,0.46,0.93
Michel Kratochvil,0.77,0.55
Alex Witt,0.58,0.87
Daniel Melo,0.57,0.72
Nick Lester,0.84,0.62
Cory Guy,0.64,0.85
Lazar Magdincev,0.85,0.88
Gavin Sontag,0.84,0.56
Ignacio Hirigoyen,0.44,0.84
Shane Stone,0.87,0.43
Damian Furmanski,0.44,0.63
Fredrik Giers,0.88,0.44
Miha Gregorc,0.63,0.56
Alex Bogomolov Jr,0.78,0.92
Cristian Kordasz,0.75,0.8
Zeljko Krajan,0.66,0.82
Roko Karanusic,0.71,0.47
Mario Radic,0.87,0.72
Marc Herter,0.86,0.61
Tapio Nurminen,0.73,0.8
Mario Ancic,0.73,0.49
Marcelo Charpentier,0.52,0.56
Christian Tuscher,0.81,0.89
Lior Dahan,0.72,0.49
Brian Macphie,0.81,0.75
Richey Reneberg,0.73,0.57
Takahiro Terachi,0.55,0.45
Peter Wessels,0.49,0.52
Greg Rusedski,0.44,0.88
Guillaume Marx,0.69,0.9
Satoshi Iwabuchi,0.54,0.63
Damien Roberts,0.72,0.74
Franz Stauder,0.43,0.69
Dirk Dier,0.59,0.55
Jan Boruszewski,0.53,0.59
Sebastian Jaeger,0.59,0.69
Johan Settergren,0.43,0.78
Edy Kusdaryanto,0.76,0.59
Oh Hee Kwon,0.46,0.78
Zbynek Mlynarik,0.41,0.93
Andrian Raturandang,0.87,0.41
Stefan Wauters,0.5,0.49
Heiko Bollich,0.81,0.9
Jong Sam Chung,0.88,0.44
Yong Il Yoon,0.67,0.82
Jarkko Nieminen,0.66,0.74
Bonit Wiryawan,0.58,0.43
Minh Le,0.61,0.4
Seong Yoon Chung,0.64,0.68
Michael Jessup,0.48,0.46
Sergio Roitman,0.58,0.88
Rodrigo Cerdera,0.81,0.66
Adrian Garcia,0.49,0.53
Eduardo Medica,0.76,0.49
Flavio Saretta,0.73,0.86
Guillermo Coria,0.43,0.8
Matteo Colla,0.41,0.79
Patricio Rudi,0.58,0.45
Andres Schneiter,0.75,0.74
Juan Pablo Guzman,0.57,0.88
Sebastian Decoud,0.73,0.82
Phillip Harboe,0.73,0.46
Diogo Cruz,0.8,0.92
Mashiska Washington,0.45,0.44
Paul Henri Mathieu,0.69,0.71
Wynn Criswell,0.43,0.92
Ruben Fernandez,0.49,0.85
Kristian Capalik,0.56,0.77
Paul Baccanello,0.75,0.87
Joseph Sirianni,0.89,0.77
Josh Tuckfield,0.57,0.43
Jordan Kerr,0.66,0.59
Lee Pearson,0.53,0.63
Matthew Breen,0.74,0.7
Hayden Gibson,0.58,0.53
Taso Vasiliadis,0.64,0.88
Matt Guyaux,0.68,0.53
Filippo Volandri,0.74,0.76
Leonardo Azzaro,0.43,0.88
Justin Bower,0.68,0.8
Jeff Tarango,0.62,0.47
Herbert Wiltschnig,0.47,0.92
Bjorn Phau,0.5,0.45
Alexander Reichel,0.84,0.51
Petr Kralert,0.84,0.48
Leigh Holland,0.42,0.77
Barry Fulcher,0.74,0.84
Michael Logarzo,0.68,0.53
Juan Ignacio Chela,0.87,0.94
Mariano Puerta,0.85,0.48
Guillermo Canas,0.69,0.57
Jay Gooding,0.47,0.67
Sebastian Swierk,0.63,0.84
Toby Mitchell,0.76,0.61
Justin Megraw,0.88,0.5
Ryan Wolters,0.58,0.66
Rameez Junaid,0.79,0.66
Brett Hansen Dent,0.74,0.41
Philipp Mullner,0.44,0.41
Scott Barron,0.68,0.55
Ashley Ford,0.49,0.81
Dede Suhendar Dinata,0.74,0.6
Rik De Voest,0.71,0.52
Marc Merry,0.89,0.46
Mariano Delfino,0.87,0.55
Enzo Artoni,0.4,0.66
Matias Oneille,0.44,0.45
Julio Peralta,0.78,0.41
Martin Vassallo Arguello,0.74,0.47
Eduardo Bergmann,0.8,0.81
Ignacio Gonzalez King,0.53,0.66
Dennis Van Scheppingen,0.82,0.64
Kamil Patel,0.62,0.41
Alan Mackin,0.53,0.79
Benjamin Cassaigne,0.41,0.51
Michael Berrer,0.84,0.45
Alexander Peya,0.67,0.86
Tero Vilen,0.89,0.67
Mike Scheidweiler,0.76,0.81
Jicham Zaatini,0.44,0.85
Valentin Sanon,0.69,0.93
Andrea Stoppini,0.41,0.74
Daniel Lencina Ribes,0.68,0.44
Ivaylo Traykov,0.58,0.71
Florian Allgauer,0.72,0.68
Lars Uebel,0.67,0.43
Yannis Vlachos,0.53,0.57
Patrick Rafter,0.48,0.63
Emilio Benfele Alvarez,0.6,0.49
Mariano Hood,0.89,0.4
Nicolas Mahut,0.62,0.82
Olivier Mutis,0.77,0.87
Olivier Patience,0.43,0.53
Thomas Dupre,0.59,0.4
Pantelis Moschoutis,0.69,0.89
Phillip King,0.78,0.47
David Nalbandian,0.66,0.62
Louis Vosloo,0.66,0.6
Timothy Aerts,0.78,0.49
Javier Gutierrez Lima,0.56,0.73
Marq Foster,0.45,0.91
Phillip Sheng,0.57,0.68
Philipp Hammer,0.48,0.94
Simon Larose,0.88,0.5
Alexandre Simoni,0.69,0.87
Ivan Beros,0.62,0.54
Claudio Alvarado,0.86,0.54
Gonzalo Fernandez,0.85,0.46
Arnaud Di Pasquale,0.61,0.87
Marcelo Rios,0.84,0.8
Carlos Moya,0.43,0.59
Kentaro Masuda,0.84,0.59
Tetsuya Chaen,0.56,0.86
Hideki Kaneko,0.68,0.91
Sebastien Lareau,0.53,0.73
Gorka Fraile,0.89,0.62
Xavier Pujo,0.44,0.43
Roberto Menendez,0.62,0.47
Mario Munoz Bejarano,0.71,0.48
Antonio Navarro,0.71,0.55
David Ferrer,0.77,0.54
Israel Vior Diaz,0.76,0.7
Jose Ezequiel Lido,0.8,0.92
Didac Perez,0.52,0.87
Tasuku Iwami,0.59,0.68
Ben Qiang Zhu,0.59,0.41
Tommi Lenho,0.88,0.44
Stefano Mocci,0.6,0.87
Stefano Cobolli,0.51,0.56
Francesco Aldi,0.72,0.57
Giuseppe Montenet,0.61,0.48
Giancarlo Petrazzuolo,0.53,0.52
Diego Alvarez,0.76,0.54
Alessio Di Mauro,0.5,0.63
Igor Brukner,0.72,0.74
Alessandro Tombolini,0.62,0.59
Denis Gremelmayr,0.56,0.65
Ryuso Tsujino,0.87,0.5
Akira Matsushita,0.56,0.43
Jose Acasuso,0.57,0.59
Yasufumi Yamamoto,0.84,0.43
Martin Lee,0.46,0.56
Jean Francois Bachelot,0.45,0.86
Cedric Kauffmann,0.54,0.6
Marco Monnecchi,0.7,0.51
Nunzio Di Pietro,0.59,0.9
Francesco Cina,0.7,0.75
Uros Vico,0.48,0.94
Michel Deville,0.53,0.57
Ezequiel Velez,0.68,0.51
Alberto Brause,0.51,0.56
Roberto Alvarez,0.61,0.85
Hector Moretti,0.69,0.48
Diego Veronelli,0.89,0.53
Oliver Gross,0.44,0.79
Jan Ralph Brandt,0.63,0.81
Anoosha Shahgholi,0.6,0.93
Jaroslav Levinsky,0.81,0.94
Janne Ojala,0.85,0.76
Radovan Svetlik,0.85,0.6
Vladimir Platenik,0.59,0.65
Ivan Cinkus,0.55,0.64
Christopher Kas,0.62,0.61
Miloslav Grolmus,0.57,0.59
Igor Saric,0.76,0.49
Blaz Trupej,0.51,0.6
Artemon Apostu Efremov,0.73,0.93
Andrej Kracman,0.86,0.89
Jan Weinzierl,0.54,0.74
Yuri Schukin,0.74,0.51
Branislav Sekac,0.47,0.88
Kristian Pless,0.46,0.57
Relja Fiser Dulic,0.46,0.7
Sebastian Uriarte,0.47,0.9
Remus Farcas,0.51,0.58
Gregory Girault,0.68,0.9
Gehad El Deeb,0.78,0.53
Alberto Banus Sado,0.46,0.91
Vaclav Roubicek,0.84,0.6
Mohamed Mamoun,0.82,0.61
Ivan Caballero,0.76,0.7
Milen Velev,0.61,0.59
Tomas Zivnicek,0.4,0.65
Brian Patterson,0.77,0.68
Jean Christophe Faurel,0.84,0.67
Gael Demenet,0.57,0.93
Sebastian Fitz,0.76,0.55
Jacob Adaktusson,0.43,0.56
Christophe Deveaux,0.75,0.86
Mark Markov,0.43,0.62
Yoshinobu Tanaka,0.69,0.44
Yves Allegro,0.7,0.66
Mathias Hellstrom,0.55,0.7
Jaymon Crabb,0.44,0.74
Nicklas Timfjord,0.87,0.53
Justin Layne,0.67,0.94
James Greenhalgh,0.69,0.81
Mardy Fish,0.71,0.8
Andy Roddick,0.85,0.88
Wayne Arthurs,0.43,0.41
Sergio Gaoni,0.85,0.74
Scott Draper,0.52,0.85
Steven Bourke,0.44,0.42
Adam Peterson,0.73,0.82
Nick Greenhouse,0.89,0.94
Iain Bates,0.43,0.73
Mark Draper,0.61,0.63
Lee Radovanovich,0.66,0.65
Efe Ustundag,0.53,0.77
Franck Fevrier,0.89,0.71
Martin Stepanek,0.72,0.83
Johann Potron,0.82,0.63
Ricardo Schlachter,0.61,0.63
Yu Zhang,0.58,0.81
Toshiharu Kato,0.68,0.76
Masahide Sakamoto,0.62,0.83
Juan Pablo Brzezicki,0.76,0.89
Cristian Villagran,0.53,0.54
Ricardo Mello,0.62,0.57
Hiroki Ishii,0.85,0.69
Josef Nesticky,0.78,0.91
Alex Lopez Moron,0.48,0.86
Ryota Taguchi,0.84,0.66
Michael Tebbutt,0.69,0.72
Mark Merklein,0.74,0.79
Jeff Williams,0.55,0.69
Lawrence Gunn,0.62,0.45
Marcus Sarstrand,0.8,0.59
Tomas Jecminek,0.57,0.43
Tim Crichton,0.48,0.77
Fabrice Betencourt,0.59,0.59
Jordi Mas,0.43,0.81
Dmitry Vlasov,0.76,0.64
Daniel Casquero,0.47,0.43
Dinu Pescariu,0.54,0.61
Attila Savolt,0.84,0.52
Ricardo Chile Fonte,0.67,0.52
Marcel Felder,0.56,0.61
Federico Dondo,0.67,0.94
Juan Antonio Saiz Panadero,0.51,0.93
Carlos Cuadrado,0.41,0.84
Santiago Ventura,0.7,0.54
Guillermo Platel,0.76,0.82
Pedro Rico,0.84,0.41
Jaime Garcia Lancha,0.79,0.43
Pedro Villena Martinez,0.86,0.86
Andre Lopes,0.89,0.71
Pedro Canovas,0.77,0.61
Oscar Posada,0.83,0.81
Massimo Dellacqua,0.74,0.46
Jean Baptiste Perlant,0.49,0.56
Manuel Jorquera,0.49,0.8
Gianluca Bolognino,0.46,0.51
Flavio Cipolla,0.87,0.73
Adriano Biasella,0.74,0.65
Guillaume Couillard,0.79,0.51
Federico Cardinali,0.57,0.89
Leslie Demiliani,0.63,0.64
Andrea Capodimonte,0.42,0.73
Frederic Petitjean,0.84,0.54
Jurek Stasiak,0.83,0.59
Omar Camporese,0.79,0.43
Thomas Schiessling,0.43,0.67
Sergi Bruguera,0.49,0.59
Ezequiel Nastari,0.57,0.58
Bo Hodge,0.53,0.89
Christian Ruud,0.82,0.79
Ivo Klec,0.5,0.65
Rogier Wassen,0.67,0.51
Catalin Ionut Gard,0.69,0.94
Duje Mrduljas,0.61,0.44
Laszlo Fono,0.52,0.47
Kornel Bardoczky,0.88,0.55
Victor Hanescu,0.61,0.92
Angel Jose Martin,0.76,0.55
Jan Minar,0.49,0.67
Thorsten Wolff,0.81,0.82
Sasha Rampazzo,0.51,0.91
Tamas Gyorgy,0.74,0.73
Davor Grgic,0.65,0.61
Jaroslav Pospisil,0.47,0.94
Rodrigo Monte,0.41,0.41
