player,age,height
Marwan Zewar,29,170
Vincent Allegre,22,197
Johan Ortegren,37,187
Benoit Foucher,32,175
Karim Maamoun,26,199
Nikos Rovas,23,183
Robert Samuelsson,32,180
Bjorn Rehnquist,20,186
Tomas Catar,27,178
Amro Ghoneim,33,197
Paul Patrick Brabant,35,191
Ingo Neumuller,33,176
Juraj Hasko,31,183
Jun Kato,34,197
Anthony La Porte,21,186
Michael Lammer,21,177
Thomas Messmer,36,197
Andreas Tattermusch,29,185
Vitali Chvets,25,181
Thomas Blake,34,181
Luben Pampoulov,30,197
Andreas Weber,24,197
Alessandro Da Col,20,174
Daniele Bracciali,27,174
Mitty Arnold,31,183
Martin Hromec,31,175
Potito Starace,24,176
Matej Pampoulov,26,192
Christian Dillschneider,23,190
Timo Nieminen,25,186
Marco Chiudinelli,32,196
Fabian Roetschi,34,178
Gordon Bergraaf,22,191
Jean Claude Scherrer,27,182
Tony Parun,35,178
Philippe Kobzos,32,196
Bernard Parun,37,185
Fred Hemmes,29,173
Paul Goldstein,36,171
Gaston Etlis,24,182
Stefano Pescosolido,28,182
Andre Sa,31,188
Febi Widhiyanto,20,181
Donavan September,20,173
Thomas Higgins,34,179
Kevin Kim,21,185
Cecil Mamiit,35,197
Doug Bohaboy,27,193
Luke Milligan,32,188
Tom Chicoine,20,177
Timo Fleischfresser,35,175
Emin Agaev,26,173
Federico Browne,24,199
Michael Kohlmann,22,176
Rafael De Mesa,31,183
Marzio Martelli,35,196
Magnus Larsson,24,182
Ville Liukko,33,190
Martin Rodriguez,24,174
Andy Fahlke,34,178
Alexander Popp,36,198
Julian Alonso,33,172
Jakub Herm Zahlava,24,179
Charles Auffray,31,184
Olivier Morel,35,189
Philippe Pasquier,35,190
Charles Edouard Maria,26,186
Sebastien Guillemart,23,192
Joao Cunha Silva,20,193
Razvan Sabau,24,175
Federico Luzzi,29,194
Oleg Ogorodov,24,172
Vadim Kutsenko,23,187
Aisam Ul Haq Qureshi,21,174
Melvin Tong,29,182
Wing Luen Wong,20,194
Jerome Haehnel,24,196
Olivier Ramos,32,170
Melvyn Op Der Heijde,23,186
Julien Maes,35,195
Julien Couly,35,172
Nicolas Guillaume,21,195
Tobias Clemens,36,188
Frederik Fetterlein,31,190
Kim Tiilikainen,37,189
Nicolas Thomann,22,191
Francois Vatin,20,181
Robin Vik,20,177
Vladimir Voltchkov,30,177
Oscar Burrieza,24,184
Daniel Elsner,31,180
Ivo Heuberger,22,189
Alexander Shvec,20,170
Brandon Hawk,20,198
Jonathan Erlich,27,185
Marcello Craca,29,199
Agustin Calleri,30,183
Ota Fukarek,31,176
Lior Mor,32,175
Helge Koll,31,190
Gilles Elseneer,33,173
Ivan Vajda,21,191
James Nelson,37,177
Wesley Whitehouse,22,191
Bjorn Jacob,36,188
Ivo Karlovic,27,194
Tom Spinks,29,172
Lee Childs,21,173
David Sherwood,28,182
Graeme Darlington,26,190
Colin Bennett,23,196
James Auckland,37,171
Stefano Tarallo,32,180
Oscar Martinez Dieguez,30,185
Albert Montanes,23,179
Ruben Ramirez Hidalgo,23,184
Juan Giner,29,196
Oscar Hernandez,24,179
Gianluca Luddi,28,171
Pedro Nieto,22,175
Jose Pablo Serna,36,183
Carlos Martinez Comet,22,171
Javier Garcia Sintes,35,179
Gabriel Trujillo Soler,23,186
Andrea Gaudenzi,37,177
Gouichi Motomura,36,195
Hyung Taik Lee,26,185
Hazuan Hizan,24,183
Selvam Veerasingam,31,179
Ramin Raziyani,36,182
Ali Hamadeh,32,170
Fazaluddin Syed,22,179
Johnny Arcilla,28,199
David Prinosil,36,191
Bing Chao Lin,36,181
Byron Black,35,199
Yohny Romero,32,186
Jose De Armas,36,193
Maurice Ruah,23,183
Bernardo Mota,31,174
Orest Tereshchuk,28,188
Andrei Medvedev,31,174
Andrey Dernovskiy,28,184
Mark Nielsen,26,182
Alistair Hunt,33,186
Chia Yen Tsai,34,170
Alexey Kedryuk,35,197
Wei Jen Cheng,24,183
Sandor Martinez Breijo,22,173
Luis Perez Chete,31,194
Marco Osorio,23,199
Luis Adrian Morejon,35,178
Giovanni Lapentti,26,186
Hermes Gamonal,32,172
Nicolas Massu,29,182
Fernando Gonzalez,26,181
Francisco Costa,33,185
Markus Hipfl,24,173
Americo Venero Montes,22,187
Luis Horna,30,192
Marat Safin,30,172
Mikhail Youzhny,37,186
Fernando Meligeni,34,170
Gustavo Kuerten,31,188
Bohdan Ulihrach,28,191
Paulo Carvallo,29,173
Francisco Rodriguez,31,186
Albert Costa,36,176
Peter Clarke,25,171
Clemens Trimmel,26,181
Elia Grossi,33,174
Martin Verkerk,32,185
Henrik Andersson,27,177
Felix Mantilla,29,192
Galo Blanco,28,196
Andrei Pavel,37,197
Thierry Guardiola,21,177
Jacobo Diaz,24,182
Jan Siemerink,24,195
Diego Nargiso,25,183
Jan Vacek,27,180
Florian Jeschonek,35,175
Mose Navarra,32,185
Giorgio Galimberti,20,192
Werner Eschauer,36,194
Torsten Wolpers,26,191
Sargis Sargsian,32,194
Jim Courier,23,184
Hernan Gumy,23,185
Justin Gimelstob,25,182
Tomas Zib,31,181
Igor Gaudi,26,187
Neville Godwin,29,198
Kacper Cecek,26,187
Michel Kratochvil,22,183
Alex Witt,32,171
Daniel Melo,32,191
Nick Lester,37,171
Cory Guy,27,172
Lazar Magdincev,28,198
Gavin Sontag,26,193
Ignacio Hirigoyen,20,177
Shane Stone,22,180
Damian Furmanski,32,181
Fredrik Giers,36,173
Miha Gregorc,20,178
Alex Bogomolov Jr,25,193
Cristian Kordasz,25,186
Zeljko Krajan,31,193
Roko Karanusic,32,185
Mario Radic,32,186
Marc Herter,34,184
Tapio Nurminen,35,189
Mario Ancic,30,195
Marcelo Charpentier,24,191
Christian Tuscher,23,176
Lior Dahan,22,179
Brian Macphie,37,198
Richey Reneberg,34,173
Takahiro Terachi,28,193
Peter Wessels,36,193
Greg Rusedski,33,183
Guillaume Marx,34,183
Satoshi Iwabuchi,20,183
Damien Roberts,22,194
Franz Stauder,35,183
Dirk Dier,30,191
Jan Boruszewski,31,189
Sebastian Jaeger,29,187
Johan Settergren,35,184
Edy Kusdaryanto,27,192
Oh Hee Kwon,25,195
Zbynek Mlynarik,31,188
Andrian Raturandang,27,196
Stefan Wauters,23,182
Heiko Bollich,27,181
Jong Sam Chung,37,188
Yong Il Yoon,24,188
Jarkko Nieminen,28,189
Bonit Wiryawan,23,171
Minh Le,36,198
Seong Yoon Chung,28,198
Michael Jessup,20,190
Sergio Roitman,32,172
Rodrigo Cerdera,35,179
Adrian Garcia,32,174
Eduardo Medica,33,181
Flavio Saretta,22,198
Guillermo Coria,25,176
Matteo Colla,37,178
Patricio Rudi,24,171
Andres Schneiter,34,194
Juan Pablo Guzman,21,179
Sebastian Decoud,29,175
Phillip Harboe,37,181
Diogo Cruz,32,175
Mashiska Washington,24,196
Paul Henri Mathieu,20,172
Wynn Criswell,20,199
Ruben Fernandez,37,179
Kristian Capalik,34,198
Paul Baccanello,36,178
Joseph Sirianni,30,189
Josh Tuckfield,36,174
Jordan Kerr,32,172
Lee Pearson,20,174
Matthew Breen,21,177
Hayden Gibson,28,177
Taso Vasiliadis,22,183
Matt Guyaux,20,193
Filippo Volandri,35,191
Leonardo Azzaro,25,186
Justin Bower,36,180
Jeff Tarango,24,195
Herbert Wiltschnig,24,185
Bjorn Phau,25,197
Alexander Reichel,22,175
Petr Kralert,24,197
Leigh Holland,24,180
Barry Fulcher,29,179
Michael Logarzo,29,192
Juan Ignacio Chela,36,199
Mariano Puerta,33,178
Guillermo Canas,28,197
Jay Gooding,33,193
Sebastian Swierk,20,196
Toby Mitchell,32,197
Justin Megraw,32,193
Ryan Wolters,23,184
Rameez Junaid,20,176
Brett Hansen Dent,36,187
Philipp Mullner,27,170
Scott Barron,21,184
Ashley Ford,27,171
Dede Suhendar Dinata,26,191
Rik De Voest,21,198
Marc Merry,22,171
Mariano Delfino,37,179
Enzo Artoni,31,189
Matias Oneille,20,184
Julio Peralta,31,179
Martin Vassallo Arguello,24,188
Eduardo Bergmann,36,191
Ignacio Gonzalez King,35,197
Dennis Van Scheppingen,34,197
Kamil Patel,34,182
Alan Mackin,24,199
Benjamin Cassaigne,33,193
Michael Berrer,21,180
Alexander Peya,30,191
Tero Vilen,26,171
Mike Scheidweiler,25,190
Jicham Zaatini,21,196
Valentin Sanon,25,182
Andrea Stoppini,37,191
Daniel Lencina Ribes,21,194
Ivaylo Traykov,37,191
Florian Allgauer,34,195
Lars Uebel,21,190
Yannis Vlachos,25,170
Patrick Rafter,20,195
Emilio Benfele Alvarez,34,174
Mariano Hood,29,190
Nicolas Mahut,36,191
Olivier Mutis,24,176
Olivier Patience,23,182
Thomas Dupre,29,182
Pantelis Moschoutis,36,189
Phillip King,29,192
David Nalbandian,36,190
Louis Vosloo,24,175
Timothy Aerts,21,189
Javier Gutierrez Lima,25,181
Marq Foster,21,177
Phillip Sheng,32,178
Philipp Hammer,30,187
Simon Larose,30,197
Alexandre Simoni,35,180
Ivan Beros,30,189
Claudio Alvarado,34,180
Gonzalo Fernandez,35,193
Arnaud Di Pasquale,30,193
Marcelo Rios,35,184
Carlos Moya,27,178
Kentaro Masuda,23,172
Tetsuya Chaen,27,186
Hideki Kaneko,23,194
Sebastien Lareau,22,186
Gorka Fraile,22,172
Xavier Pujo,37,188
Roberto Menendez,24,178
Mario Munoz Bejarano,37,186
Antonio Navarro,29,192
David Ferrer,25,187
Israel Vior Diaz,20,192
Jose Ezequiel Lido,24,184
Didac Perez,28,170
Tasuku Iwami,31,198
Ben Qiang Zhu,33,195
Tommi Lenho,21,179
Stefano Mocci,36,177
Stefano Cobolli,33,179
Francesco Aldi,32,198
Giuseppe Montenet,28,195
Giancarlo Petrazzuolo,34,171
Diego Alvarez,34,188
Alessio Di Mauro,30,183
Igor Brukner,35,177
Alessandro Tombolini,36,188
Denis Gremelmayr,23,170
Ryuso Tsujino,20,185
Akira Matsushita,27,194
Jose Acasuso,36,193
Yasufumi Yamamoto,22,184
Martin Lee,34,189
Jean Francois Bachelot,34,193
Cedric Kauffmann,33,199
Marco Monnecchi,33,174
Nunzio Di Pietro,21,172
Francesco Cina,32,186
Uros Vico,33,198
Michel Deville,26,179
Ezequiel Velez,22,174
Alberto Brause,34,180
Roberto Alvarez,33,175
Hector Moretti,30,173
Diego Veronelli,34,176
Oliver Gross,32,188
Jan Ralph Brandt,37,176
Anoosha Shahgholi,25,183
Jaroslav Levinsky,22,186
Janne Ojala,34,192
Radovan Svetlik,24,186
Vladimir Platenik,29,182
Ivan Cinkus,26,196
Christopher Kas,36,170
Miloslav Grolmus,26,171
Igor Saric,31,187
Blaz Trupej,36,173
Artemon Apostu Efremov,32,182
Andrej Kracman,23,170
Jan Weinzierl,29,173
Yuri Schukin,22,171
Branislav Sekac,28,173
Kristian Pless,32,185
Relja Fiser Dulic,37,173
Sebastian Uriarte,34,194
Remus Farcas,23,178
Gregory Girault,34,186
Gehad El Deeb,21,190
Alberto Banus Sado,34,192
Vaclav Roubicek,27,189
Mohamed Mamoun,27,197
Ivan Caballero,36,190
Milen Velev,31,171
Tomas Zivnicek,29,172
Brian Patterson,28,192
Jean Christophe Faurel,24,195
Gael Demenet,25,198
Sebastian Fitz,21,184
Jacob Adaktusson,32,176
Christophe Deveaux,25,173
Mark Markov,24,181
Yoshinobu Tanaka,20,170
Yves Allegro,25,186
Mathias Hellstrom,25,173
Jaymon Crabb,35,173
Nicklas Timfjord,23,191
Justin Layne,30,192
James Greenhalgh,28,194
Mardy Fish,22,178
Andy Roddick,27,195
Wayne Arthurs,24,197
Sergio Gaoni,23,197
Scott Draper,25,190
Steven Bourke,21,179
Adam Peterson,30,196
Nick Greenhouse,23,188
Iain Bates,34,188
Mark Draper,25,184
Lee Radovanovich,36,191
Efe Ustundag,25,186
Franck Fevrier,21,176
Martin Stepanek,34,172
Johann Potron,30,174
Ricardo Schlachter,27,185
Yu Zhang,32,192
Toshiharu Kato,31,176
Masahide Sakamoto,24,185
Juan Pablo Brzezicki,25,178
Cristian Villagran,23,170
Ricardo Mello,20,172
Hiroki Ishii,36,194
Josef Nesticky,31,177
Alex Lopez Moron,34,187
Ryota Taguchi,20,193
Michael Tebbutt,33,193
Mark Merklein,25,187
Jeff Williams,24,193
Lawrence Gunn,30,188
Marcus Sarstrand,23,176
Tomas Jecminek,32,198
Tim Crichton,30,194
Fabrice Betencourt,22,189
Jordi Mas,20,196
Dmitry Vlasov,25,175
Daniel Casquero,37,194
Dinu Pescariu,29,196
Attila Savolt,24,180
Ricardo Chile Fonte,29,174
Marcel Felder,31,181
Federico Dondo,21,170
Juan Antonio Saiz Panadero,32,188
Carlos Cuadrado,27,180
Santiago Ventura,21,184
Guillermo Platel,20,194
Pedro Rico,24,185
Jaime Garcia Lancha,28,172
Pedro Villena Martinez,36,180
Andre Lopes,28,180
Pedro Canovas,30,179
Oscar Posada,34,171
Massimo Dellacqua,25,189
Jean Baptiste Perlant,22,174
Manuel Jorquera,36,192
Gianluca Bolognino,24,192
Flavio Cipolla,31,194
Adriano Biasella,37,198
Guillaume Couillard,33,177
Federico Cardinali,30,182
Leslie Demiliani,28,184
Andrea Capodimonte,21,171
Frederic Petitjean,31,181
Jurek Stasiak,22,193
Omar Camporese,22,177
Thomas Schiessling,20,190
Sergi Bruguera,27,198
Ezequiel Nastari,27,188
Bo Hodge,30,194
Christian Ruud,28,197
Ivo Klec,24,192
Rogier Wassen,33,170
Catalin Ionut Gard,22,177
Duje Mrduljas,24,179
Laszlo Fono,24,182
Kornel Bardoczky,33,174
Victor Hanescu,23,191
Angel Jose Martin,32,178
Jan Minar,29,179
Thorsten Wolff,37,183
Sasha Rampazzo,27,193
Tamas Gyorgy,27,199
Davor Grgic,26,180
Jaroslav Pospisil,27,183
Rodrigo Monte,33,199
Mauricio Hadad,25,172
Miguel Pastura,20,198
Zoltan Boroczky,34,190
Levar Harper Griffith,20,185
Glenn Weiner,36,189
Edgardo Massa,20,199
Jose Manuel Garcia Rodriguez,34,186
Daniel Merkert,21,174
Jonas Froberg,33,195
Nick Gould,27,176
Jing Zhu Yang,27,186
Martin Sinner,26,189
Si Bruce Li,25,191
Domenic Marafiote,25,180
Cyril Martin,22,181
Daniel Schalen,26,194
James Davidson,27,196
Dmitri Tomashevich,29,193
Stefano Galvani,34,171
Srinath Prahlad,34,196
Sergei Pozdnev,20,188
Timur Ganiev,26,195
Evgueni Smirnov,23,198
Ouassel Hared,25,174
Mehdi Tahiri,20,180
Abdelhak Hameurlaine,24,192
Joan Jimenez Guerra,20,188
Igor Kornienko,23,197
Kane Dewhurst,21,176
Rafael Serpa Guinazu,29,190
Miguel Miranda,24,195
Bartlomiej Dabrowski,29,191
Rene Busch,20,175
Marcin Matkowski,25,180
Krystian Pfeiffer,32,196
Aivaras Balzekas,34,183
Gilles Muller,23,197
Baris Ergun,32,173
Claude Ngoran,34,197
Rolandas Murashka,27,177
Jan Frode Andersen,24,178
Radomir Vasek,34,171
Nelson De Almeida,23,194
Clayton Almeida,31,180
Ivan Esquerdo,32,197
Nuno Matias,21,189
Patrik Langvardt,23,191
Diego Junqueira,23,199
Andreas Fasching,30,176
Stian Boretti,24,173
Tiago Sousa,30,193
Eduardo Frick,29,198
Ralf Wilmink,27,183
Thiago Alves,25,195
Rodrigo Ribeiro,25,193
Agustin Garizzio,27,170
Ramon Delgado,34,193
Pedro Leao,33,195
Martin Bartonek,30,199
Martin Stringari,31,181
Kalle Flygt,32,188
Adam Skrzypczak,27,174
Iker Bilbao,37,199
Alberto Lopez Nunez,20,195
Matthis Kempe Bergman,34,177
Erhan Oral,27,180
Daniel Dios,30,191
Or Dekel,31,173
Tiago Galvao,31,184
Roberto Rodriguez Vazquez,23,189
Mustafa Azkara,35,181
Igor Ibrisbegovic,23,189
Emanuel Couto,24,191
Helder Lopes,24,192
Simon Wernhart,27,198
Stefan Balog,29,190
Eliran Dooyev,36,179
Nickolai Dyachok,28,199
Chemseddine Belal,33,193
Renaud Thys,27,185
Andres Dellatorre,28,192
Jorge Aguilar,30,177
Frantisek Babej,20,189
Karol Beck,33,177
Ralph Grambow,24,198
Roman Smotlak,33,175
Kresimir Ritz,23,172
Raul Morant,20,198
Miguel Angel Lopez Jaen,27,177
Michael Quintero,34,198
Eduardo Rincon,34,192
Juan Perianez Llopis,28,179
Jordi Marse Vidri,28,174
Jose Maria Vicente,29,180
Miguel Olaso De La Rica,28,173
Andreas Bubik,22,186
Hans Grobecker,30,195
Jonathan Beardsley,25,172
Kotaro Miyachi,21,187
Lars Zimmermann,26,177
Fabio Maggi,37,199
Pieter Calitz,21,193
Alberto Tirelli,36,181
Mohamed Dakki,30,190
Larbi Rharnit,31,185
Gregory Zavialoff,26,183
Coenie Van Wyk,25,190
Ton Su Kwon,20,185
Michihisa Onoda,36,196
Cesar Ferrer Victoria,30,173
Frank Pokorny,37,170
Markus Menzler,36,170
Markus Wislsperger,26,198
Danijel Kruslin,36,191
Marian Leysek,28,184
Aleksandar Vlaski,36,189
Ivo Bratanov,27,189
Markus Polessnig,36,172
Martin Spottl,26,183
David Wheaton,20,178
Dominik Meffert,32,188
Simon Greul,36,177
Johan Kareld,32,171
Fredrik Loven,35,173
Tobias Hildebrand,27,170
Carlos Alberto Marcote Jimeno,37,180
Razvan Lupsescu,20,174
Aleksander Slovic,33,171
Alexander Yarmola,34,196
Patricio Arquez,37,182
Leandro Rosa,21,186
Raul Valdes,36,186
Lucas Engel,37,187
Antonio Pastorino,25,190
Thomas Strengberger S597,23,197
Alun Jones,20,178
Lukas Dlouhy,27,175
Johannes Ager,26,197
Matias Ormaza,22,189
Renzo Furlan,29,172
Felipe Parada,29,177
Toshihide Matsui,33,172
Julien Cassaigne,21,170
Pablo Garcia Gaitan,20,189
Wei Ju Chen,37,196
Jim Thomas,26,182
Daniel Koellerer,27,190
Filippo Messori,20,174
Andreas Kauntz,22,185
Christian Grunes,27,190
Piotr Szczepanik,34,193
Diego Hartfield,24,185
Paolo Lorenzi,22,193
Takao Suzuki,20,181
Julio Silva,34,182
Marcos Digliodo,27,173
Diego Bracco,21,178
Sebastian Losavio,22,185
Bojan Vujic,33,170
Seung Kyu Park,33,174
Hyeong Keun Song,30,190
Dong Hyun Kim,35,174
Sang Hoon Lee,23,193
Hee Sung Chung,24,194
Seung Hoon Lee,33,188
Sung Ho Im,35,178
Seung Bok Baek,37,198
Nam Hoon Kim,26,196
Min Kyu Han,29,177
El Mehdi Belbacha Jawhari,26,188
Hicham Fathi El Idrissi,20,187
Hicham Karmoussi,35,184
Tomasz Boniecki,23,173
Jakub Hasek,37,184
Ignacio Truyol Turrion,21,182
Luis Herrera,20,197
Bruno Echagaray,34,187
Luis Uribe,24,189
Luis Hormazabal,30,174
Rafael Fontes,29,187
Guillermo Gomez,21,197
David Roditi,22,177
Miguel Gallardo Valles,31,170
Angel Diankov,24,188
Anton Klaric,24,192
Esat Tanik,25,195
Andrei Youzhny,28,186
Maciej Domka,21,198
Dmitry Tursunov,31,196
Mirko Pehar,22,171
Sergei Krotiouk,31,188
Marcelo Amador,36,199
Abdul Hamid Makhkamov,29,185
Seung Ri Sohn,33,199
Mattia Livraghi,36,187
Hee Seok Chung,37,171
Hyun Cheol Bang,36,197
Sung Kyun Kang,33,196
Kunj Majmudar,28,175
Sean Cooper,27,176
Owen Casey,21,175
Harsh Mankad,32,196
Rishi Sridhar,26,175
Daniel Caracciolo,28,178
Vijay Kannan,30,177
Ajay Ramaswami,33,199
John Rom,23,193
Kedar Shah,32,191
Phoemphon Atabut,21,190
Parantap Chaturvedi,24,178
Marquiestro Foster,30,181
Nick McDonald,25,187
Wesley Moodie,37,192
Andrew Anderson,29,175
Willem Petrus Meyer,23,192
Dirk Stegmann,28,197
Joel Mcgregor,25,173
Punch Maleka,21,194
Steven Bijl,36,176
Ciaran Moore,24,187
Gwinyai Tongoona,25,198
Jean Marcel Bourgaul Du Coudray,31,189
Shaun Rudman,29,174
Jeroen Masson,25,187
Kyle Rudman,27,179
Mark Roberts,21,177
Petrus Molefe,31,170
Dinos Pavlou,32,184
Holger Losch,26,172
Duncan Krisjan,29,184
Thomas Greenland,32,183
